"filename", "language", "Java", "JSON", "comment", "blank", "total"
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/equipments/Bike.java", "Java", 20, 0, 0, 14, 34
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/equipments/Boat.java", "Java", 20, 0, 1, 10, 31
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/equipments/Equipment.java", "Java", 24, 0, 0, 8, 32
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/equipments/Hammer.java", "Java", 21, 0, 0, 9, 30
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/equipments/Hoe.java", "Java", 17, 0, 0, 8, 25
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/equipments/Shovel.java", "Java", 21, 0, 1, 9, 31
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/materials/BFence.java", "Java", 11, 0, 2, 14, 27
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/materials/Material.java", "Java", 24, 0, 1, 14, 39
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/resources/Dirt.java", "Java", 20, 0, 3, 6, 29
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/resources/FireFruit.java", "Java", 7, 0, 0, 7, 14
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/resources/FireSeed.java", "Java", 14, 0, 0, 8, 22
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/resources/Resource.java", "Java", 27, 0, 1, 13, 41
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/resources/Wood.java", "Java", 8, 0, 1, 5, 14
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/Ageable.java", "Java", 4, 0, 0, 2, 6
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/Breakable.java", "Java", 22, 0, 2, 10, 34
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/CaveOpening.java", "Java", 12, 0, 0, 5, 17
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/Changeable.java", "Java", 4, 0, 0, 3, 7
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/Chest.java", "Java", 18, 0, 0, 11, 29
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/Cliff.java", "Java", 9, 0, 1, 4, 14
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/Dirt.java", "Java", 21, 0, 0, 10, 31
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/DungeonCave.java", "Java", 28, 0, 0, 8, 36
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/Farmable.java", "Java", 61, 0, 1, 22, 84
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/FirePlant.java", "Java", 8, 0, 0, 5, 13
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/GameObjectFactory.java", "Java", 94, 0, 6, 46, 146
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/GhostObj.java", "Java", 53, 0, 0, 19, 72
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/InteractableObj.java", "Java", 8, 0, 0, 5, 13
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/LadderBack.java", "Java", 15, 0, 0, 9, 24
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/Material.java", "Java", 68, 0, 1, 39, 108
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/NonCollisionInteraction.java", "Java", 11, 0, 0, 8, 19
